[2026-04-10 08:41:45,739] flops: 10.579868042, params: 26.764399, Total params: : 26.7644
[2026-04-10 08:42:30,839] Epoch: 1, Dataset: test, Dice: 0.8299, IoU: 0.7292
[2026-04-10 08:42:32,402] Epoch: 1, Dataset: val, Dice: 0.7676, IoU: 0.6643
[2026-04-10 08:42:32,402] ### Best Model Saved (Dice improved from 0.0000 to 0.7676) ###
[2026-04-10 08:43:13,313] Epoch: 2, Dataset: test, Dice: 0.8171, IoU: 0.7240
[2026-04-10 08:43:14,635] Epoch: 2, Dataset: val, Dice: 0.6955, IoU: 0.5827
[2026-04-10 08:43:53,243] Epoch: 3, Dataset: test, Dice: 0.8339, IoU: 0.7546
[2026-04-10 08:43:53,866] Epoch: 3, Dataset: val, Dice: 0.7317, IoU: 0.6379
[2026-04-10 08:44:30,809] Epoch: 4, Dataset: test, Dice: 0.7732, IoU: 0.6972
[2026-04-10 08:44:31,428] Epoch: 4, Dataset: val, Dice: 0.6997, IoU: 0.6055
[2026-04-10 08:45:08,493] Epoch: 5, Dataset: test, Dice: 0.8689, IoU: 0.7871
[2026-04-10 08:45:09,114] Epoch: 5, Dataset: val, Dice: 0.7942, IoU: 0.6973
[2026-04-10 08:45:09,114] ### Best Model Saved (Dice improved from 0.7676 to 0.7942) ###
[2026-04-10 08:45:46,279] Epoch: 6, Dataset: test, Dice: 0.8779, IoU: 0.7974
[2026-04-10 08:45:46,902] Epoch: 6, Dataset: val, Dice: 0.8258, IoU: 0.7321
[2026-04-10 08:45:46,902] ### Best Model Saved (Dice improved from 0.7942 to 0.8258) ###
[2026-04-10 08:46:24,158] Epoch: 7, Dataset: test, Dice: 0.8886, IoU: 0.8190
[2026-04-10 08:46:24,780] Epoch: 7, Dataset: val, Dice: 0.8659, IoU: 0.7890
[2026-04-10 08:46:24,781] ### Best Model Saved (Dice improved from 0.8258 to 0.8659) ###
[2026-04-10 08:47:02,038] Epoch: 8, Dataset: test, Dice: 0.8827, IoU: 0.8170
[2026-04-10 08:47:02,664] Epoch: 8, Dataset: val, Dice: 0.8726, IoU: 0.7950
[2026-04-10 08:47:02,665] ### Best Model Saved (Dice improved from 0.8659 to 0.8726) ###
[2026-04-10 08:47:41,232] Epoch: 9, Dataset: test, Dice: 0.8060, IoU: 0.7172
[2026-04-10 08:47:41,905] Epoch: 9, Dataset: val, Dice: 0.7896, IoU: 0.6959
[2026-04-10 08:48:20,610] Epoch: 10, Dataset: test, Dice: 0.8911, IoU: 0.8180
[2026-04-10 08:48:21,277] Epoch: 10, Dataset: val, Dice: 0.8117, IoU: 0.7220
[2026-04-10 08:48:59,382] Epoch: 11, Dataset: test, Dice: 0.9178, IoU: 0.8552
[2026-04-10 08:49:00,078] Epoch: 11, Dataset: val, Dice: 0.8372, IoU: 0.7595
[2026-04-10 08:49:38,326] Epoch: 12, Dataset: test, Dice: 0.9191, IoU: 0.8607
[2026-04-10 08:49:38,972] Epoch: 12, Dataset: val, Dice: 0.8892, IoU: 0.8180
