task,dataset,model,run,paper_metric,reproduced_metric,improved_metric,delta,hardware,elapsed,command,checkpoint,notes
sanity,ClinicDB,pvt_v2_b2_emcad,smoke_e1_r1,95.21,15.51,,,RTX 4070 SUPER 12GB,14.78s train + eval,train_polyp.py --dataset_name ClinicDB --encoder pvt_v2_b2 --epoch 1 --num_runs 1 --batchsize 4 --test_batchsize 2 --num_workers 0 --test_num_workers 0 --img_size 352,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs4_cas_lr0.0005_e1_augTrue_run1_t214716\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs4_cas_lr0.0005_e1_augTrue_run1_t214716-best.pth,1 epoch smoke test only; not a reproduction result
sanity,Synapse,pvt_v2_b2_emcad,smoke_e1_r1,83.63,45.8709,,,RTX 4070 SUPER 12GB,1 epoch + official test,train_synapse.py --encoder pvt_v2_b2 --root_path ./data/synapse/train_npz --volume_path ./data/synapse/test_vol_h5 --pretrained_dir ./pretrained_pth/pvt --max_epochs 1 --batch_size 6 --num_workers 0 --test_num_workers 0 --img_size 224,D:\Python\EMCAD\EMCAD\model_pth\pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_Synapse224\pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_loss_mutation_output_final_layer_Run1_pretrain_epo1_bs6_224_s2222\best.pth,"1 epoch smoke test only; official test_synapse mean_dice 45.8709, mean_hd95 175.6753, mean_jacard 33.9103"
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t231506,95.21,83.6585,,-11.5515,NVIDIA GeForce RTX 4070 SUPER,8.25s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t231506\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t231506-best.pth,official test; iou=76.4900; sensitivity=87.8376; specificity=97.9676; precision=83.8460; hd95=39.7060
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run2_t233304,95.21,81.7961,,-13.4139,NVIDIA GeForce RTX 4070 SUPER,8.21s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run2_t233304\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run2_t233304-best.pth,official test; iou=74.0461; sensitivity=84.5436; specificity=98.2062; precision=85.4090; hd95=39.9623
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run3_t235132,95.21,83.4919,,-11.7181,NVIDIA GeForce RTX 4070 SUPER,8.16s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run3_t235132\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run3_t235132-best.pth,official test; iou=75.7066; sensitivity=89.2950; specificity=97.6486; precision=82.6730; hd95=36.6850
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run4_t000912,95.21,84.3708,,-10.8392,NVIDIA GeForce RTX 4070 SUPER,8.23s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run4_t000912\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run4_t000912-best.pth,official test; iou=77.2956; sensitivity=86.2378; specificity=98.8868; precision=86.4804; hd95=27.5559
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run5_t002653,95.21,84.3166,,-10.8934,NVIDIA GeForce RTX 4070 SUPER,8.14s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run5_t002653\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run5_t002653-best.pth,official test; iou=77.5116; sensitivity=88.7038; specificity=97.6918; precision=85.0750; hd95=39.5135
baseline_aggregate,ClinicDB,pvt_v2_b2_emcad,five_run_summary,95.21,84.3708,,-10.8392,NVIDIA GeForce RTX 4070 SUPER,5372.32s train + eval,train_polyp.py --dataset_name ClinicDB --num_runs 5,,best_of_5=84.3708; mean_of_5=83.5268; criterion_abs_delta_le_2.0=False
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141,95.21,95.2186,,0.0086,NVIDIA GeForce RTX 4070 SUPER,12.19s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141-best.pth,official test; iou=91.1235; sensitivity=95.3200; specificity=99.7263; precision=95.4610; hd95=6.2923
baseline_aggregate,ClinicDB,pvt_v2_b2_emcad,five_run_summary,95.21,95.2186,,0.0086,NVIDIA GeForce RTX 4070 SUPER,0.00s train + eval,reuse_existing_run_id ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141,,best_of_1=95.2186; mean_of_1=95.2186; criterion_abs_delta_le_2.0=True
baseline,ClinicDB,pvt_v2_b2_emcad,ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141,95.21,95.2186,,0.0086,NVIDIA GeForce RTX 4070 SUPER,19.85s eval,test_polyp.py --dataset_name ClinicDB,D:\Python\EMCAD\EMCAD\model_pth\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141\ClinicDB_pvt_v2_b2_EMCAD_kernel_sizes_1_3_5_dw_parallel_add_lgag_ks_3_ef2_act_mscb_relu6_bs8_cas_lr0.0005_e200_augTrue_run1_t084141-best.pth,official test; iou=91.1235; sensitivity=95.3200; specificity=99.7263; precision=95.4610; hd95=6.2923
